Kode Supplier,Nama,Alamat,NPWP
77,Kepala Unit Pel. Nguntoronadi,Nguntoronadi,33859020
78,CAHAYA COMPUTER,"Jl.Ahmat Yani 142 Kerdukepik Wonogiri , telp 02733",34302909
79,PT.BHIMA ABADI,Guntur Rt 01 / 01 Kal.Jetis Kec.Baki Sukoharjo 575,34746798
80,CV.URIPINDO DIGDAYA AGUNG,Jl.Pusponjolo Barat No.38 Semarang Telp.024 760915,35190687
81,PT PLN WONOGIRI,WONOGIRI,35634576
82,CV.JOINDO JAYA,Wonokarto RT 02 RW 08 WONOGIRI,36078465
83,KARYA MANDIRI,Jlln.Raya Pokoh No.69 Wonogiri,36522354
84,MONGGO MAS,Jln.Jendral Sudirman N0.27 Wonogiri,36966243
85,CV.KUSUMO,Jln.Brotojoyo Barat II / 39 Semarang,37410132
86,Ketua Satuan Pengawas Intern,Kantor induk PDAM Wonogiri,37854021
87,Ka Sub Bag. Produksi,Kantor Induk PDAM Wonogiri,38297910
88,Ka Bag Hubungan Langganan,Kantor Induk PDAM Wonogiri,38741799
89,Kepala Bagian Perencanaan & Litbang,Kantor Induk PDAM Wonogiri,39185688
90,Sekretaris Satuan Pengawas Intern,Kantor Induk PDAM Wonogiri,39629577
91,Sektr Sat . Penelitian dan Pengembangan,Kantor Induk PDAM Wonogiri,40073466
92,Ka Sub Bag . Pengolahan dan Sumber Air,Kantor Induk PDAM Wonogiri,40517355
93,Ka Sub Bag . Logistik dan Aset,Kantor Induk PDAM Wonogiri,40961244
94,Ka Sub Bag . SDM dan Hukum,kantor Induk PDAM Wonogiri,41405133
95,"Ka Sub Bag . Pembukuan, Kas & Penagihan",Kantor Induk PDAM Wonogiri,41849022
96,Ka Sub Bag . Pembaca Meter,Kantor Induk PDAM Wonogiri,42292911
97,CV.BUDI KARYA CIPTA,"Jl.Brotojoyo Barat 1/5 , Rt 09/III Semarang,Telp.0",42736800
98,CV . WITOMO,"Jl.Brotojoyo Barat II/6 Semarang,Telp.0243547129",43180689
99,TOSAN JAYA Diesel,"Jl,Raya Wng - Ngd Km 8 Kenteng Ngadirojo ,Telp.027",43624578
100,CV . NADU WIJAYA,Ds.Sigereng RT.04 Rw.01 Biting Purwantoro Wonogiri,44068467
101,CV . TARUNA JAYA,Keden Sidoharjo Wonogiri Telp.0273 331307,44512356
102,CAHAYA SAKTI MOTOR,Jln.Ahmad Yani No.108 Wonogiri Tel.0273 5318968,44956245
103,CV. SURYA PUTRA TIMUR,"Kaloran Lor RT 02/06 Giritirto,Wonogiri.",45400134
104,CV. Restu Bunda,"Jl. Tanjung Mas Timur VIII, No. 300 Semarang",45844023
105,PT.TELEANJAR INDONESIA,Jln.Rasuna Said KAV 20 Kuningan Jakarta . Telp.021,46287912
106,INFORMA,"Jl. Ir Soekarno, Madegondo Solobaru ,Sukoharjo.",46731801
107,CV. Sapta Indera Sarana Teknik,Jl. Solo Baru Permai 88c Solo Baru,47175690
108,Meubel Beta,Jl Ahmad Yani No.60 Wonogiri,47619579
109,CV.AZKA JAYA PRAKOSO,Pesanggrahan Warna Agung Blok B1 Sambiroto Tembala,48063468
110,Toko BARU,Jln.Jend Sudirman Giripurwo Wonogiri,48507357
111,Toko SINAR JAYA,Jl.Jend Sudirman No.30 Wonogiri,48951246
112,CV . POLARIS,Jln. Pramuka No.65 KUDUS Telp.0291.439565,49395135
113,PT. BATIK DANAR HADI,"JL. DR Rajiman No. 164 Rt 01/ Rw 05 Kec.Serengan,",49839024
114,PD. Giri Tunggal,Jl. Brigjend Katamso No. 6 Wonogiri.,50282913
115,CV. Karya Putra Teknik,"Brajan Rt 001 Rw 005 Kaliancar,Selogiri,Wonoiri.",50726802
116,Toko GAMA,Jl. Pemuda 1 No. 5 Wonogiri,51170691
117,CV. VITA RIZKY,"Jl. Argo Mukti Barat I/462, Semarang.",51614580
118,CV. ABADI,JL. Sendang Asri I No. 04 Semarang,52058469
119,CV . MUARA TEHNIK,"Jl.Bukit Kelapa Hijau VIII BA-85 Meteseh , Tembala",52502358
120,RAYA COMPUTER,"Jl.Ahmad Yani No.56 Wonogiri , Telp.0273323234",52946247
121,CV. TEKO JAYA,"Jl. Jagalan No. 28 Semarang Tlpn. (024 3588732,354",53390136
122,CV. TELAGA PANDAN,"JL. TP. Joko Songo Moyoretno Rt. 02/07 Matesih,Kar",53834025
123,CV.WILLIAM AHMAD HARTONO,Jl.DI Panjaitan No.10A Wonokarto Wonogiri,54277914
124,PT. DINAR ENERGI UTAMA,Jl. Puri Anjasmoro Block J3 No. 31 Semarang,54721803
125,CV. OJO LALI,"Jl. Setumbu 2 RT 02/02 Kedungpane,Mijen,Semarang",55165692
126,PT. IDEA TIRTA MANDIRI,"Ruko Janur Village No. 1 Jalan Penganten Ali,Cirac",55609581
127,PT. NOCOLA iOT SOLUTION,"JL. Ir. Juanda No. 117 Sidanegara,Cilacap Tengah,C",56053470
128,CV. ENTWO ELECTRONIC & ENGINERING,"Jl. Lekong No. 1600 (08/13) Mertasinga,Cilacap",56497359
129,CV. KARYA PERDANA,"Jl. Bayu Prasetya Timur V/74, Semarang",56941248
130,Toko BINTANG TEHNIK,Jln.Ahmad Yani Ponten Wonogiri Telp.081225900021,57385137
131,CV.HERGA TIRTA KHARISMA,Plamongan Indah Blok D 22/18 Semarang Telp.024 674,57829026
132,PT . SHA Solo,Jln.Yosodipuro No.21 Mangkubumen Banjarsari Suraka,58272915
133,PT.GIRI CIPTA ELEKTRIKAL,"Wukirsari Rt 07/04 Wonosari,Gn Kidul,Yogyakarta,02",58716804
134,CV. UTOMO SENTOSA,"Jl. Garuda No. 16 Rt.04/02 Gambiran,Cemani,Sukohar",59160693
135,PT. KARTIKA PANCA BAJA,"Telukan, Sukoharjo Telp. 0271 - 788 9545",59604582
136,CV . SOLO POMPA,Karang turi Rt 03/01 Triyagan Mojolaban Sukoharjo,60048471
137,LANCAR ABADI,"BATUR, CEPER, KLATEN",60492360
138,CV. PODO BERKAH,"JL. Puri Anjasmoro Blok N4 No.24,Tawangsari,Semara",60936249
139,CV.Citra Karya Manunggal Abadi,"Jl.Blimbing I Gerdu Rt.02/06 Wonogiri,Telp.0271 32",61380138
140,CV.AKHDAN PERSADA,Jl.Kintelan No.300 Gajah Mungkur Semarang,61824027
141,CV.INDO MAKMUR,"Jl.Griya Prasetya Selatan V/174 Semarang , Telp.02",62267916
142,HASTA TOUR,Jl.Sambiloto No 2 Rt 02/05 Nguter SukoharjoTelp.08,62711805
143,BINTANG MOTOR,Jln. Depan Pengadilan (0273 321188) Wonogiri,63155694
144,PT. MECONEL SISTIM INSTRUMENT,"Jl. Raya Pondok Kelapa,Taman Rukan Blok c-10. Jaka",63599583
145,"CV.SUKSES MANDIRI , Telp.024.35564290",Kp.Pengapon No.351 Rt.2/5 Rejo Mulyo Semarang Timu,64043472
146,CV. SATRIA PURNAMA,Jl. Brotojoyo Barat III /3A di- Semarang,64487361
147,PT SINAR MENTARIPAGI CERAH,Jl.Supriyadi No.22 Semarang Telp.024.6711120,64931250
148,CV. PURI HANDAYANI,"Wonokarto Rt 02/08 Wonogiri , Telp.081 393 704 339",65375139
149,CV. NORMA KARYA UTAMA,"Pandeyan Rt 01/04 Jatisrono,Wonogiri",65819028
150,CV. DUTA KARYA MANDIRI,"Jl. Nangka Timur No. 17 Mrican,Semarang",66262917
151,JEMPOL BARU,Mangkunegaran Solo,66706806
152,EURO ADVERTISING & GENERAL SUPPLIER,Ruko Jln. Kalilarangan No. 86 B Solo,67150695
153,CV. GRIYA TEKNIKA,"Jln. Parkit II RT 01/05 Gerdu,Giripurwo Wonogiri.",67594584
154,KHARISMA JAYA MANDIRI,"Perum Jetis Permai Gang 9/19,Kel. Gentan,Baki,Suko",68038473
155,ASA Production,Jl.Salak VI No.88 Wonogiri. Telp.0273 325652,68482362
156,CV.SUMBER TIRTA ABADI,Bulurejo Rt.02/08 Ds.Klunggen Slogohimo.Telp.08132,68926251
157,PT ALIA TEKNIK ....Telp.021 5316 5566,Villa Melati Mas Blok I-10 No.18 Serpong Tangerang,69370140
158,Perumda GIRI ANEKA USAHA,"Jl. Pemuda No. 6 Wonogiri, Kel. Giripurwo,Wng (027",69814029
159,CV. BERKAH GEMILANG,"JL. Grand Indraprasta Blok C1/08,Tamansari Majapai",70257918
160,CV. TEKNIK POMPA,"Ruko THD. B-23 Jl. Agus Salim,Semarang",70701807
161,PT. PARAGA SADDHA ADYATAMA,"JL. Raya - Semarang, Boja KM. 4,tlpn (024)76631082",71145696
162,AGIS PRODUCTION,"Donoharjo Rt/rw 001/02 Wuryorejo,Wonogiri",71589585
163,CV. BINA USAHA JAYA,Jl. Nangka Timur No.17 Lamper Kidul Semarang,72033474
164,ETERNAL REKLAME,"Jl. Kalilarangan No.36a Jayengan,Serengan, SKA 571",72477363
165,PT. INDAH MITRA ENERGI,"Jl. Garuda 16 Gambiran,Cemani,Kec.Grogol, Kab. Suk",72921252
166,CV. MUTIARA CEMERLANG,"Perum.Puri Pamenang,Jl.Tentara Pelajar No.12A Unga",73365141
167,CV. KARSA PUTRA UTAMA,"Jln. S.Parman Rt 03 Rw 08, Kel. Wonokarto,Kab. Won",73809030
168,PT.PERMANA CITRA ( Konsultan Tehnik ),"Jl.Candi Prambanan Timur I No.7 Semarang ,Telp.081",74252919
169,CV. ARTA JAYA,"Crabak Rt 04/03 Gambiranom,kismantoro, Wonogiri",74696808
170,PT. URIP GUMULYO,"Jl. Puspanjolo Barat No. 38, Semarang",75140697
171,CV. HILLSON BUMINAGARA,"Jln. Sasuit Tubun No.42 Rt 003/006 Wonokarto, Wono",75584586
172,CV. TRESNO AJI,Jl. Penaton No. 62 Semarang 50245,76028475
173,CV. PATRIA UTAMA,"Suryoputran Kt II/285, kel.Panembahan, Kec.Kraton,",76472364
174,CV. GHOZALI IHSAN MANDIRI,"JL.Tlogo Salma Blok B1A,Kec.Pendurungan,0813327169",76916253
175,CV. ADI JAYA,"Bulusari, RT 02/05, Bulusulur,Wonogiri.",77360142
176,CV. VICTORY OKA CIPTA,"Karangmojo RT 04/01 Tasikmadu,Karanganyar 57761",77804031
177,CV. MITRA GRAHA PUTERA,Jl.Veteran No. 84 Surakarta,78247920
178,CV. VISI SEMESTA,"Jl.Abdul Muis Widuran No.1,Setabelan, Surakarta",78691809
179,GRAND PHONSEL,Jl. Jend. Sudirman No. 125 Wonogiri,79135698
180,CV. BAJA MURNI,"Bakalan,Ceper,Klaten",79579587
181,Kasubag. Penelitian & Pengembangan,Perumda Air Minum Wonogiri,80023476
182,PT. PRATAMA KURNIA KASIH,"Jl. Jendral Ahmad Yani No.188,Wonogiri",80467365
183,PT. DUTA PLASTIKA DUNIA PERDANA,"Jln. Kalingga III no.4 Jetis,Kadipiro Surakarta -5",80911254
184,SOLO CLOTHING,"Jl. Pabelan 1 Ruko Timur Lap. Pabelan - Kartosuro,",81355143
185,CV. BANYU MULIA ABADI,"Jl. Raya Petarukan dk.Kecapang Rt 04/01,Kab.Pemala",81799032
186,CV.Bina Cipta Abadi,Jl. Gunung Slamet 3 No. 7 Sukorejo Kadipiro Solo,82242921
187,SPBU BRUMBUNG DS. SINGODUTAN NO. 4457608,"Jl. Brumbung Ds. Singodutan, Kec. Selogiri,Kab. Wo",82686810
188,CV. RIDHO MULIYA,"Dsn. Tangkluk Rt.002 Rw.004 Ds. Pare,Selogiri,Wono",83130699
189,SPBU RAYA WONOGIRI 4457605,JL. RAYA WONOGIRI,83574588
190,CV. GELORA JAYA,JL. Palebon VI No. 6 Padurungan-Semarang,84018477
191,CV . SURYA GLOBE,Jl.Prof Dr. Soeharso No. 86 Jajar Laweyan Surakart,84462366
192,CV. HASTA KARYA LAKSANA,"Jl. Ahmad Yani No.187 Purwodadi - Grobogan,(0292)4",84906255
193,PT. CITRA GAMA SAKTI,"Jl. Afandi (GEJAYAN) CT.X/76 Deresan,Santren,Depok",85350144
194,MR. POMPA SOLO,"Jl. Veteran No.155, Danukusuman, Surakarta.",85794033
195,Ka.Unit Pengadaan,Kantor Pdam Kab.Wonogiri,86237922
